country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Afghanistan,5026,5848,5292,6649.025,0.018,0.015,0.023,0.747,0.588,0.96
Algeria,783,2291,1947,2711,0.041,0.031,0.053,0.336,0.254,0.453
Argentina,5806,10736,9372.95,12351.025,0.027,0.022,0.031,0.519,0.423,0.641
Armenia,3437,7280,6306,8444,0.025,0.02,0.032,0.54,0.417,0.71
Bangladesh,18418,24807,22032.9,27999.025,0.02,0.018,0.023,0.689,0.583,0.817
Belarus,6093,6093,6093,6093,0.005,0.004,0.007,1,1,1
Belgium,886,5618,4898.975,6449.025,0.078,0.066,0.092,0.176,0.145,0.216
Bolivia,3766,12884,11330,14754,0.05,0.043,0.058,0.275,0.227,0.333
Brazil,147331,625614.5,561983.55,698537.95,0.053,0.051,0.054,0.262,0.234,0.292
Bulgaria,198,1616,1184,2167.0249999999996,0.146,0.094,0.213,0.094,0.063,0.149
Cameroon,1695,2650,2107.975,3348,0.015,0.01,0.022,0.931,0.615,1
Canada,4867,35279.5,31504.975,39624,0.096,0.089,0.103,0.143,0.126,0.163
Chile,32887,41075.5,36749.925,46091.025,0.019,0.018,0.021,0.716,0.623,0.82
Colombia,9791,32048,28534.975,36177.049999999996,0.048,0.043,0.053,0.288,0.247,0.337
Dominican_Republic,2287,2960,2576.975,3483.0249999999996,0.016,0.012,0.022,0.843,0.61,1
Ecuador,4157,19472,17194.899999999998,22144.025,0.086,0.077,0.097,0.159,0.136,0.187
Egypt,9163,34423,30607,38989.149999999994,0.05,0.045,0.056,0.274,0.234,0.32
France,3670,38620.5,34349.85,43524.025,0.104,0.095,0.115,0.132,0.114,0.152
Germany,2497,8949,7893.975,10175.025,0.05,0.043,0.058,0.274,0.229,0.331
Guatemala,2053,8265,7188.975,9572.025,0.073,0.061,0.085,0.19,0.156,0.232
Honduras,1061,2591,2195,3070.0249999999996,0.034,0.026,0.045,0.4,0.301,0.544
Hungary,103,968,735,1286.0249999999996,0.103,0.065,0.155,0.133,0.088,0.216
India,64485,174674,156675.375,195107,0.038,0.036,0.04,0.36,0.319,0.405
Indonesia,4741,18296,16266.95,20630,0.051,0.044,0.057,0.273,0.232,0.322
Iran,20475,43769.5,39112.825000000004,49197.49999999999,0.032,0.029,0.035,0.432,0.376,0.497
Iraq,4919,27189,23646.850000000002,31329.024999999998,0.085,0.071,0.099,0.163,0.134,0.2
Ireland,254,1089,884,1350,0.044,0.028,0.065,0.312,0.209,0.5
Italy,2137,19889,17702.95,22480.074999999997,0.132,0.121,0.142,0.105,0.091,0.119
Japan,290,2964,2448,3585.0249999999996,0.1,0.067,0.14,0.138,0.096,0.208
Kuwait,4939,4939,4939,4939,0.008,0.006,0.011,1,1,1
Mexico,26107,309561.5,278208.45,345964.39999999997,0.178,0.173,0.183,0.077,0.069,0.086
Moldova,1413,3803.5,3213.9750000000004,4509.049999999999,0.039,0.029,0.052,0.351,0.257,0.486
Netherlands,1078,6006,5206,6928,0.047,0.037,0.06,0.291,0.225,0.383
Nigeria,2378,6037,5211.975,6989.025,0.035,0.027,0.043,0.397,0.309,0.516
North_Macedonia,753,7244,5956,8758.025,0.106,0.068,0.155,0.129,0.087,0.204
Pakistan,29447,76603.5,68551.775,86190.325,0.038,0.035,0.041,0.363,0.315,0.417
Panama,2986,6498,5544.975,7628,0.031,0.024,0.039,0.446,0.341,0.595
Peru,36087,88074,78900.90000000001,98768.1,0.029,0.027,0.03,0.481,0.423,0.544
Philippines,4116,12805.5,11062.975,14886.025,0.02,0.015,0.027,0.671,0.498,0.916
Poland,2415,5200,4484,6041.049999999999,0.034,0.028,0.041,0.403,0.321,0.509
Portugal,2148,8500,7398.9749999999995,9764.025,0.047,0.038,0.058,0.291,0.232,0.374
Romania,1157,4836,4183.975,5603,0.053,0.041,0.066,0.26,0.203,0.341
Russia,62114,85486.5,76667.875,95703.275,0.019,0.018,0.02,0.729,0.644,0.824
Saudi_Arabia,15485,15485,15485,15731,0.012,0.011,0.014,1,0.929,1
South_Africa,15006,40466,36058.95,45645,0.039,0.034,0.043,0.356,0.306,0.416
Spain,2121,2938,2757,3163,0.002,0.001,0.003,1,1,1
Sudan,1065,7131,6212.975,8233.025,0.066,0.053,0.08,0.21,0.168,0.267
Sweden,6774,43666.5,38782.65,49432,0.072,0.064,0.081,0.19,0.162,0.223
Turkey,6115,10050,8887.95,11398.05,0.021,0.018,0.024,0.657,0.545,0.797
Ukraine,3310,8410.5,7311.975,9715.025,0.03,0.024,0.037,0.453,0.356,0.576
United_Arab_Emirates,4372,4372,4372,4372,0.002,0.001,0.004,1,1,1
United_Kingdom,12042,101573.5,91086.77500000001,113645.72499999999,0.119,0.115,0.124,0.115,0.102,0.129
United_States_of_America,149677,467729.5,420502.75,522790.925,0.04,0.039,0.041,0.341,0.304,0.381
Yemen,163,5215,4177,6475,0.403,0.303,0.508,0.034,0.026,0.046
