country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Afghanistan,4527,5856,5176.950000000001,6736,0.011,0.008,0.016,1,0.86,1
Algeria,1154,3603,3085,4203,0.042,0.032,0.054,0.328,0.25,0.438
Argentina,4861,14861,12971.975,17035.025,0.032,0.025,0.039,0.436,0.346,0.555
Armenia,2625,5172,4389,6115,0.031,0.023,0.04,0.444,0.334,0.595
Bangladesh,12530,18057,15933,20459.025,0.017,0.015,0.02,0.792,0.659,0.96
Belarus,6414,6414,6414,6414,0.005,0.004,0.007,1,1,1
Belgium,1376,9370,8247,10679.05,0.108,0.095,0.122,0.128,0.108,0.151
Bolivia,3677,14083,12226.974999999999,16203,0.04,0.032,0.051,0.341,0.266,0.442
Bosnia_and_Herzegovina,103,612,449,826,0.081,0.044,0.132,0.171,0.104,0.315
Brazil,151042,862297.5,775626.6,963874.2,0.068,0.067,0.07,0.202,0.18,0.225
Bulgaria,105,444,327,606,0.054,0.031,0.086,0.254,0.158,0.447
Cameroon,1307,3449,2789.9750000000004,4222,0.031,0.022,0.043,0.444,0.316,0.645
Canada,6569,41351,36984.950000000004,46550.025,0.091,0.084,0.097,0.152,0.133,0.173
Chile,29465,41563,37053.975000000006,46800.149999999994,0.017,0.015,0.019,0.819,0.702,0.953
Colombia,8059,22094,19581,25086.074999999997,0.039,0.034,0.045,0.354,0.298,0.425
Denmark,344,532,421.975,680,0.022,0.011,0.038,0.623,0.357,1
Dominican_Republic,2486,2778,2539,3166.0249999999996,0.018,0.013,0.024,0.773,0.569,1
Ecuador,2313,16305,14390.975,18482.025,0.057,0.051,0.065,0.24,0.204,0.283
Egypt,6836,23466.5,20705.925,26663.15,0.047,0.04,0.054,0.295,0.247,0.354
Finland,258,433,328,576,0.028,0.014,0.049,0.491,0.276,0.965
France,6690,67442,59890.625,76335.37499999999,0.146,0.134,0.159,0.094,0.082,0.108
Germany,3201,12967,11492.95,14658.074999999999,0.057,0.051,0.064,0.241,0.205,0.283
Guatemala,1685,4269,3548,5153,0.048,0.035,0.062,0.288,0.217,0.393
Honduras,1351,4778,4023.975,5667.025,0.03,0.02,0.043,0.454,0.315,0.69
Hungary,126,1328,1040,1685,0.152,0.11,0.198,0.091,0.068,0.127
India,50275,136236,122124.7,152517.05,0.037,0.035,0.039,0.368,0.326,0.414
Indonesia,4028,17624,15632,19961.1,0.056,0.049,0.064,0.246,0.208,0.29
Iran,15429,34142.5,30500,38429.075,0.026,0.024,0.029,0.519,0.447,0.602
Iraq,1907,8292,7042,9759.025,0.058,0.043,0.077,0.236,0.175,0.327
Ireland,347,1291,1088,1531,0.057,0.043,0.074,0.24,0.18,0.328
Italy,3337,28254,25215,31852.025,0.114,0.105,0.123,0.121,0.106,0.138
Japan,301,3772.5,3151.95,4490,0.194,0.157,0.237,0.071,0.057,0.09
Kuwait,5728,5728,5728,5728,0.009,0.007,0.011,1,1,1
Mexico,21656,262832.5,235560.1,293982.25,0.158,0.153,0.164,0.087,0.077,0.097
Moldova,1104,3502,2971.975,4127,0.043,0.033,0.056,0.316,0.238,0.428
Netherlands,1193,8124.5,7120.975,9338,0.111,0.094,0.128,0.124,0.103,0.15
Nigeria,2329,5063,4308.975,5912.025,0.03,0.023,0.039,0.453,0.343,0.612
North_Macedonia,223,1316,998.975,1720,0.108,0.068,0.161,0.127,0.084,0.202
Pakistan,14895,25423,22629.899999999998,28702.025,0.028,0.025,0.031,0.496,0.427,0.577
Panama,2441,4853,4068.975,5809,0.029,0.02,0.04,0.473,0.336,0.693
Peru,39917,107133,96060.57500000001,120124.7,0.037,0.035,0.039,0.373,0.329,0.422
Philippines,3447,11085,9559.975,12878.074999999999,0.055,0.044,0.067,0.249,0.2,0.316
Poland,2640,5314,4612.975,6120.025,0.027,0.021,0.034,0.512,0.396,0.665
Portugal,1732,7730,6728.975,8870.025,0.061,0.049,0.073,0.227,0.183,0.285
Romania,1276,4955,4301.975,5719,0.061,0.049,0.074,0.227,0.18,0.288
Russia,60693,65785,62566,71424.175,0.017,0.016,0.018,0.787,0.696,0.89
Saudi_Arabia,13223,13223,13223,13223,0.006,0.005,0.007,1,1,1
South_Africa,9624,26990,24028.975000000002,30549.049999999996,0.039,0.034,0.044,0.356,0.301,0.419
Spain,4903,38461,34240.95,43305.049999999996,0.089,0.08,0.097,0.155,0.134,0.179
Sudan,1172,7124,6138,8281,0.104,0.087,0.123,0.132,0.108,0.162
Sweden,3925,29697,26436,33437.049999999996,0.112,0.102,0.122,0.123,0.107,0.142
Switzerland,120,733,561,958,0.065,0.038,0.101,0.211,0.134,0.37
Turkey,7417,10696,9471.95,12162,0.022,0.019,0.025,0.622,0.523,0.739
Ukraine,2624,5901,5081.9749999999995,6862.025,0.032,0.026,0.039,0.433,0.346,0.55
United_Arab_Emirates,5192,5192,5192,5192,0.003,0.002,0.005,1,1,1
United_Kingdom,15672,86806.5,77982.375,97328.25,0.083,0.079,0.087,0.166,0.147,0.187
United_States_of_America,147714,482485,433248.575,539546.45,0.042,0.041,0.043,0.327,0.292,0.365
