deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.494,0.002,0.999,0.028,0.013,1
0.496,0.002,0.998,0.028,0.013,1
0.492,0.002,0.998,0.028,0.013,1
0.498,0.001,0.998,0.028,0.013,1
0.5,0.002,0.998,0.028,0.013,1
0.48,0.001,0.998,0.029,0.013,1
0.424,0.001,0.995,0.032,0.013,1
0.345,0.001,0.984,0.04,0.014,1
0.271,0.001,0.959,0.051,0.014,1
0.221,0,0.927,0.062,0.015,1
0.182,0,0.889,0.075,0.015,1
0.16,0,0.835,0.086,0.016,1
0.123,0,0.751,0.112,0.018,1
0.092,0,0.649,0.15,0.021,1
0.062,0,0.501,0.22,0.027,1
0.218,0.021,0.616,0.063,0.022,0.649
0.273,0.061,0.616,0.05,0.022,0.226
0.207,0.045,0.499,0.067,0.027,0.305
0.327,0.118,0.601,0.042,0.023,0.116
0.286,0.103,0.538,0.048,0.025,0.136
0.334,0.144,0.575,0.041,0.024,0.096
0.402,0.189,0.649,0.034,0.021,0.073
0.43,0.203,0.688,0.032,0.02,0.068
0.621,0.357,0.84,0.022,0.016,0.039
0.645,0.363,0.859,0.021,0.016,0.038
0.797,0.551,0.947,0.017,0.014,0.025
0.752,0.529,0.909,0.018,0.015,0.026
0.531,0.333,0.721,0.026,0.019,0.042
0.378,0.22,0.555,0.036,0.024,0.062
0.386,0.24,0.545,0.036,0.025,0.058
0.256,0.144,0.396,0.054,0.034,0.097
0.323,0.204,0.46,0.043,0.03,0.068
0.251,0.153,0.376,0.055,0.036,0.091
0.219,0.131,0.328,0.063,0.041,0.107
0.229,0.147,0.33,0.06,0.041,0.095
0.407,0.315,0.505,0.034,0.027,0.044
0.29,0.216,0.371,0.047,0.036,0.065
0.394,0.321,0.473,0.035,0.028,0.044
0.553,0.483,0.623,0.025,0.021,0.03
0.557,0.492,0.622,0.025,0.021,0.029
0.557,0.495,0.617,0.025,0.021,0.029
0.548,0.491,0.604,0.025,0.022,0.029
0.444,0.391,0.497,0.031,0.026,0.037
0.464,0.414,0.514,0.03,0.025,0.035
0.388,0.343,0.433,0.035,0.03,0.042
0.276,0.24,0.315,0.05,0.042,0.06
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.505,0.001,0.999,0.027,0.013,1
0.51,0.002,0.999,0.027,0.013,1
0.509,0.002,0.998,0.027,0.013,1
0.51,0.002,0.999,0.027,0.013,1
0.493,0.002,0.998,0.028,0.013,1
0.452,0.002,0.997,0.03,0.013,1
0.361,0.001,0.987,0.038,0.014,1
0.234,0.001,0.939,0.059,0.015,1
0.139,0,0.811,0.099,0.017,1
0.086,0,0.638,0.161,0.021,1
0.057,0,0.48,0.241,0.028,1
0.036,0,0.34,0.386,0.04,1
0.027,0,0.255,0.522,0.054,1
0.019,0,0.198,0.717,0.068,1
0.015,0,0.15,0.944,0.091,1
0.058,0.005,0.211,0.237,0.065,1
0.044,0.004,0.163,0.316,0.084,1
0.032,0.003,0.123,0.43,0.111,1
0.023,0.002,0.093,0.583,0.149,1
0.048,0.013,0.115,0.285,0.118,1
0.037,0.01,0.093,0.369,0.146,1
0.038,0.013,0.084,0.363,0.162,1
0.035,0.013,0.073,0.392,0.185,1
0.026,0.01,0.054,0.528,0.252,1
0.026,0.012,0.05,0.52,0.274,1
0.042,0.024,0.065,0.331,0.209,0.57
0.046,0.03,0.067,0.297,0.2,0.466
0.044,0.029,0.062,0.314,0.219,0.472
0.038,0.026,0.053,0.359,0.253,0.528
0.046,0.034,0.06,0.296,0.221,0.403
0.05,0.039,0.063,0.274,0.211,0.361
0.04,0.031,0.05,0.345,0.266,0.455
0.038,0.03,0.048,0.357,0.279,0.462
0.039,0.031,0.047,0.358,0.285,0.452
0.039,0.032,0.047,0.356,0.287,0.447
0.038,0.031,0.045,0.363,0.294,0.449
0.031,0.026,0.037,0.441,0.357,0.549
0.026,0.021,0.031,0.526,0.423,0.662
0.028,0.023,0.033,0.494,0.403,0.61
0.026,0.021,0.031,0.534,0.434,0.658
0.023,0.019,0.028,0.591,0.479,0.737
0.023,0.019,0.028,0.593,0.478,0.734
0.025,0.021,0.03,0.54,0.443,0.664
0.028,0.024,0.033,0.494,0.407,0.605
0.032,0.027,0.037,0.432,0.358,0.52
0.034,0.029,0.039,0.408,0.338,0.495
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
