deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.514,0.002,0.999,0.027,0.013,1
0.487,0.002,0.999,0.028,0.013,1
0.498,0.001,0.999,0.028,0.013,1
0.493,0.001,0.998,0.028,0.013,1
0.488,0.001,0.998,0.028,0.013,1
0.467,0.001,0.998,0.029,0.013,1
0.416,0.001,0.995,0.033,0.013,1
0.342,0.001,0.985,0.04,0.014,1
0.268,0.001,0.964,0.051,0.014,1
0.223,0.001,0.928,0.062,0.015,1
0.187,0.001,0.903,0.074,0.015,1
0.181,0,0.875,0.076,0.016,1
0.181,0,0.875,0.077,0.016,1
0.178,0.001,0.876,0.077,0.016,1
0.2,0,0.903,0.069,0.015,1
0.233,0.001,0.94,0.059,0.015,1
0.29,0.001,0.969,0.047,0.014,1
0.358,0.001,0.986,0.039,0.014,1
0.417,0.001,0.995,0.033,0.013,1
0.453,0.001,0.996,0.03,0.013,1
0.484,0.001,0.998,0.029,0.013,1
0.503,0.002,0.998,0.027,0.013,1
0.498,0.002,0.998,0.028,0.013,1
0.508,0.001,0.998,0.027,0.013,1
0.503,0.001,0.998,0.027,0.013,1
0.499,0.001,0.999,0.028,0.013,1
0.506,0.002,0.998,0.027,0.013,1
0.495,0.001,0.999,0.028,0.013,1
0.497,0.001,0.998,0.028,0.013,1
0.502,0.001,0.999,0.027,0.013,1
0.512,0.001,0.999,0.027,0.013,1
0.507,0.002,0.998,0.027,0.013,1
0.48,0.001,0.998,0.029,0.013,1
0.322,0.001,0.981,0.043,0.014,1
0.16,0,0.857,0.086,0.016,1
0.073,0,0.563,0.188,0.024,1
0.474,0.16,0.806,0.029,0.017,0.087
0.232,0.067,0.488,0.059,0.028,0.205
0.116,0.032,0.271,0.118,0.051,0.427
0.085,0.029,0.183,0.163,0.075,0.466
0.052,0.017,0.116,0.263,0.117,0.838
0.045,0.017,0.092,0.308,0.147,0.827
0.034,0.013,0.071,0.408,0.191,1
0.059,0.031,0.098,0.233,0.139,0.445
0.079,0.049,0.119,0.173,0.114,0.282
0.125,0.09,0.168,0.11,0.08,0.155
0.194,0.154,0.238,0.071,0.056,0.092
0.18,0.145,0.22,0.076,0.06,0.098
0.172,0.14,0.207,0.08,0.064,0.101
0.198,0.167,0.232,0.069,0.057,0.085
0.228,0.199,0.26,0.06,0.051,0.072
0.229,0.202,0.258,0.06,0.051,0.071
0.241,0.216,0.267,0.057,0.049,0.067
0.227,0.204,0.251,0.061,0.052,0.071
0.235,0.214,0.257,0.058,0.051,0.067
0.236,0.216,0.255,0.058,0.051,0.067
0.276,0.258,0.295,0.05,0.044,0.057
0.266,0.249,0.284,0.052,0.045,0.059
0.28,0.264,0.297,0.049,0.043,0.056
0.259,0.245,0.275,0.053,0.047,0.06
0.239,0.226,0.253,0.057,0.051,0.065
0.221,0.209,0.233,0.062,0.055,0.07
0.207,0.196,0.218,0.066,0.059,0.075
0.213,0.203,0.223,0.065,0.057,0.073
0.2,0.191,0.21,0.069,0.061,0.077
0.196,0.187,0.205,0.07,0.062,0.079
0.227,0.218,0.236,0.061,0.054,0.068
0.238,0.229,0.247,0.058,0.051,0.065
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.502,0.001,0.998,0.027,0.013,1
0.518,0.002,0.999,0.027,0.013,1
0.511,0.001,0.998,0.027,0.013,1
0.503,0.001,0.999,0.027,0.013,1
0.499,0.001,0.998,0.028,0.013,1
0.465,0.002,0.998,0.03,0.013,1
0.425,0.001,0.996,0.032,0.013,1
0.336,0.001,0.985,0.041,0.014,1
0.269,0.001,0.96,0.051,0.014,1
0.214,0,0.923,0.064,0.015,1
0.179,0,0.874,0.077,0.016,1
0.153,0,0.823,0.09,0.017,1
0.13,0,0.793,0.106,0.017,1
0.121,0,0.736,0.114,0.019,1
0.109,0,0.697,0.127,0.019,1
0.085,0,0.613,0.161,0.023,1
0.06,0,0.485,0.231,0.028,1
0.039,0,0.365,0.349,0.037,1
0.028,0,0.27,0.497,0.051,1
0.019,0,0.187,0.71,0.073,1
0.072,0.007,0.258,0.191,0.053,1
0.183,0.064,0.374,0.075,0.037,0.216
0.2,0.087,0.36,0.069,0.038,0.159
0.267,0.149,0.415,0.052,0.033,0.094
0.32,0.209,0.446,0.043,0.03,0.067
0.327,0.229,0.437,0.042,0.031,0.061
0.33,0.246,0.422,0.042,0.032,0.057
0.327,0.252,0.407,0.042,0.033,0.056
0.287,0.225,0.355,0.048,0.038,0.062
0.284,0.231,0.341,0.049,0.039,0.061
0.235,0.192,0.281,0.059,0.047,0.074
0.201,0.167,0.239,0.068,0.056,0.085
0.171,0.144,0.202,0.08,0.066,0.098
0.146,0.124,0.171,0.094,0.078,0.115
0.141,0.122,0.163,0.097,0.081,0.117
0.137,0.119,0.156,0.1,0.085,0.119
0.14,0.123,0.158,0.098,0.084,0.116
0.146,0.13,0.162,0.094,0.081,0.11
0.155,0.14,0.171,0.089,0.076,0.103
0.155,0.14,0.17,0.089,0.077,0.103
0.161,0.147,0.176,0.086,0.074,0.099
0.176,0.161,0.19,0.078,0.068,0.09
0.191,0.177,0.206,0.072,0.063,0.082
0.195,0.181,0.208,0.071,0.062,0.08
0.183,0.171,0.196,0.075,0.066,0.085
0.158,0.147,0.169,0.087,0.076,0.099
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.498,0.001,0.999,0.028,0.013,1
0.512,0.001,0.998,0.027,0.013,1
0.5,0.001,0.999,0.028,0.013,1
0.51,0.002,0.998,0.027,0.013,1
0.5,0.001,0.998,0.027,0.013,1
0.471,0.001,0.998,0.029,0.013,1
0.417,0.001,0.995,0.033,0.013,1
0.33,0.001,0.979,0.042,0.014,1
0.235,0,0.937,0.058,0.015,1
0.169,0,0.854,0.082,0.016,1
0.128,0,0.77,0.108,0.018,1
0.096,0,0.668,0.142,0.021,1
0.081,0,0.598,0.17,0.023,1
0.073,0,0.569,0.188,0.024,1
0.066,0,0.539,0.206,0.025,1
0.069,0,0.548,0.198,0.025,1
0.07,0,0.546,0.196,0.025,1
0.072,0,0.568,0.192,0.024,1
0.076,0,0.579,0.182,0.024,1
0.077,0,0.579,0.179,0.024,1
0.071,0,0.566,0.195,0.024,1
0.069,0,0.549,0.2,0.025,1
0.07,0,0.545,0.199,0.025,1
0.068,0,0.542,0.203,0.025,1
0.074,0,0.575,0.188,0.024,1
0.083,0,0.601,0.167,0.023,1
0.097,0,0.668,0.143,0.021,1
0.115,0,0.726,0.12,0.019,1
0.134,0,0.794,0.101,0.017,1
0.152,0,0.823,0.091,0.017,1
0.161,0,0.854,0.086,0.016,1
0.161,0,0.846,0.085,0.016,1
0.158,0,0.833,0.087,0.016,1
0.151,0,0.835,0.091,0.016,1
0.144,0,0.824,0.096,0.017,1
0.136,0,0.802,0.1,0.017,1
0.132,0,0.782,0.105,0.017,1
0.112,0,0.716,0.122,0.019,1
0.095,0,0.656,0.145,0.021,1
0.074,0,0.58,0.186,0.023,1
0.056,0,0.484,0.245,0.028,1
0.046,0,0.4,0.301,0.034,1
0.034,0,0.306,0.404,0.045,1
0.129,0.012,0.426,0.106,0.032,1
0.105,0.01,0.348,0.131,0.039,1
0.084,0.008,0.296,0.163,0.046,1
0.068,0.006,0.246,0.203,0.056,1
0.056,0.005,0.2,0.248,0.068,1
0.047,0.005,0.172,0.295,0.079,1
0.041,0.004,0.154,0.336,0.09,1
0.093,0.026,0.218,0.148,0.062,0.532
0.183,0.085,0.322,0.075,0.042,0.164
0.177,0.086,0.303,0.078,0.045,0.161
0.164,0.085,0.277,0.083,0.049,0.165
0.161,0.088,0.258,0.085,0.053,0.157
0.193,0.121,0.283,0.071,0.047,0.115
0.162,0.104,0.237,0.085,0.057,0.133
0.126,0.081,0.182,0.109,0.074,0.17
0.088,0.055,0.129,0.156,0.104,0.251
0.089,0.06,0.126,0.154,0.107,0.232
0.076,0.052,0.106,0.18,0.127,0.266
0.085,0.062,0.112,0.162,0.121,0.227
0.07,0.052,0.092,0.197,0.147,0.273
0.057,0.041,0.075,0.242,0.178,0.337
0.076,0.059,0.094,0.182,0.142,0.239
0.068,0.053,0.084,0.203,0.159,0.262
0.059,0.047,0.073,0.231,0.181,0.299
0.063,0.052,0.076,0.219,0.177,0.273
0.066,0.056,0.078,0.207,0.17,0.254
0.068,0.058,0.078,0.204,0.171,0.245
0.071,0.062,0.08,0.194,0.164,0.231
0.063,0.056,0.071,0.217,0.184,0.255
0.066,0.059,0.074,0.209,0.179,0.244
0.066,0.059,0.073,0.208,0.18,0.243
0.067,0.061,0.074,0.205,0.177,0.238
0.062,0.056,0.069,0.22,0.19,0.254
0.063,0.058,0.069,0.218,0.188,0.251
NA,NA,NA,NA,NA,NA
0.499,0.002,0.999,0.028,0.013,1
0.504,0.002,0.998,0.027,0.013,1
0.501,0.002,0.998,0.028,0.013,1
0.484,0.002,0.998,0.028,0.013,1
0.417,0.001,0.995,0.033,0.013,1
0.205,0.001,0.914,0.067,0.015,1
0.075,0,0.57,0.181,0.024,1
0.031,0,0.304,0.44,0.045,1
0.019,0,0.184,0.736,0.074,1
0.012,0,0.125,1,0.111,1
0.046,0.004,0.169,0.302,0.081,1
0.035,0.003,0.133,0.39,0.102,1
0.03,0.003,0.114,0.455,0.121,1
0.027,0.003,0.101,0.514,0.135,1
0.048,0.009,0.138,0.289,0.1,1
0.05,0.01,0.142,0.272,0.097,1
0.056,0.011,0.159,0.245,0.086,1
0.036,0.003,0.134,0.38,0.102,1
0.083,0.016,0.222,0.166,0.062,0.84
0.112,0.023,0.294,0.123,0.047,0.6
0.391,0.167,0.651,0.035,0.021,0.083
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
1,1,1,0.014,0.012,0.015
0.705,0.631,0.772,0.02,0.017,0.023
0.605,0.544,0.663,0.023,0.02,0.026
0.503,0.454,0.554,0.027,0.024,0.032
0.41,0.369,0.45,0.034,0.029,0.039
0.324,0.292,0.358,0.042,0.037,0.049
0.253,0.228,0.28,0.054,0.047,0.063
0.198,0.18,0.218,0.069,0.06,0.08
0.154,0.14,0.169,0.089,0.077,0.103
0.12,0.109,0.131,0.114,0.099,0.132
0.095,0.087,0.104,0.145,0.126,0.166
0.08,0.073,0.087,0.172,0.15,0.198
0.069,0.063,0.075,0.199,0.173,0.228
0.061,0.056,0.066,0.225,0.196,0.257
0.055,0.051,0.06,0.249,0.217,0.284
0.05,0.046,0.054,0.276,0.242,0.315
0.056,0.052,0.06,0.245,0.216,0.278
0.046,0.043,0.049,0.299,0.263,0.34
0.045,0.042,0.048,0.308,0.271,0.351
0.044,0.041,0.047,0.314,0.276,0.357
0.042,0.039,0.044,0.331,0.292,0.376
0.039,0.037,0.042,0.349,0.307,0.396
0.04,0.038,0.043,0.342,0.301,0.388
0.033,0.03,0.035,0.421,0.37,0.478
0.035,0.033,0.038,0.391,0.344,0.444
0.031,0.029,0.034,0.438,0.384,0.497
0.028,0.026,0.03,0.496,0.436,0.562
0.028,0.026,0.03,0.493,0.434,0.559
0.026,0.025,0.028,0.523,0.459,0.595
0.024,0.022,0.025,0.584,0.513,0.665
0.022,0.02,0.023,0.634,0.555,0.722
0.021,0.019,0.023,0.654,0.57,0.748
0.022,0.02,0.024,0.633,0.551,0.73
0.023,0.021,0.025,0.596,0.517,0.688
0.022,0.019,0.024,0.636,0.544,0.743
0.024,0.021,0.027,0.57,0.488,0.667
0.029,0.026,0.032,0.477,0.407,0.56
0.036,0.032,0.041,0.378,0.322,0.444
0.043,0.038,0.048,0.323,0.275,0.381
0.048,0.042,0.054,0.289,0.245,0.341
0.054,0.048,0.061,0.254,0.215,0.3
0.057,0.05,0.064,0.242,0.205,0.288
0.059,0.051,0.067,0.235,0.197,0.28
0.059,0.051,0.068,0.231,0.194,0.277
0.058,0.049,0.067,0.238,0.198,0.287
0.055,0.046,0.064,0.252,0.208,0.309
0.055,0.046,0.065,0.249,0.203,0.307
0.054,0.044,0.065,0.255,0.207,0.319
0.057,0.047,0.069,0.24,0.192,0.302
0.064,0.051,0.077,0.216,0.173,0.274
0.073,0.059,0.09,0.188,0.149,0.24
0.088,0.07,0.108,0.156,0.123,0.201
0.106,0.085,0.13,0.13,0.103,0.166
0.117,0.092,0.145,0.117,0.092,0.153
0.141,0.111,0.175,0.097,0.077,0.127
0.168,0.131,0.211,0.082,0.063,0.107
0.203,0.159,0.254,0.068,0.053,0.089
0.191,0.143,0.245,0.072,0.055,0.098
0.204,0.153,0.261,0.068,0.052,0.092
0.213,0.161,0.273,0.064,0.049,0.087
0.188,0.14,0.243,0.073,0.055,0.101
0.163,0.119,0.213,0.084,0.063,0.118
0.115,0.081,0.156,0.12,0.086,0.172
0.086,0.059,0.12,0.16,0.112,0.237
0.066,0.044,0.094,0.208,0.144,0.314
0.058,0.039,0.083,0.237,0.163,0.358
0.062,0.043,0.086,0.222,0.158,0.327
0.059,0.041,0.08,0.234,0.168,0.344
0.051,0.035,0.071,0.271,0.191,0.401
0.047,0.032,0.066,0.29,0.204,0.429
0.041,0.027,0.058,0.337,0.233,0.509
0.041,0.028,0.058,0.335,0.233,0.501
0.035,0.023,0.05,0.397,0.27,0.612
0.021,0.012,0.034,0.646,0.398,1
0.02,0.011,0.033,0.683,0.416,1
0.016,0.008,0.028,0.864,0.491,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
