DateRep,day,month,year,Cases,Deaths,Countries.and.territories,countryterritoryCode,popData2018,continent
2020-09-07,7,9,2020,-8261,3800,Ecuador,ECU,17373657,America
2020-05-12,12,5,2020,-50,18,Ecuador,ECU,17373657,America
2020-05-07,7,5,2020,-2461,49,Ecuador,ECU,17373657,America
2020-06-03,3,6,2020,-840,107,France,FRA,67012883,Europe
2020-06-20,20,6,2020,-148,47,Italy,ITA,60359546,Europe
2020-09-11,11,9,2020,-7,0,Jersey,JEY,107796,Europe
2020-04-29,29,4,2020,-105,3,Lithuania,LTU,2794184,Europe
2020-08-28,28,8,2020,-1385,0,Luxembourg,LUX,613894,Europe
2020-05-03,3,5,2020,-161,16,Portugal,PRT,10276617,Europe
2020-08-06,6,8,2020,218,-12,Kosovo,XKX,1798506,Europe
2020-07-06,6,7,2020,75,-3,Czechia,CZE,10649800,Europe
2020-07-05,5,7,2020,121,-1,Czechia,CZE,10649800,Europe
2020-10-03,3,10,2020,466,-5,Ireland,IRL,4904240,Europe
2020-06-25,25,6,2020,577,-31,Italy,ITA,60359546,Europe
