country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Algeria,1039,4783,4072.975,5625,0.055,0.04,0.073,0.25,0.183,0.348
Argentina,901,4944,4191,5801.025,0.066,0.05,0.084,0.21,0.159,0.282
Austria,424,3079,2613.9750000000004,3629,0.101,0.079,0.127,0.136,0.105,0.178
Bangladesh,3792,6900,5943.95,8071,0.014,0.01,0.019,0.963,0.692,1
Belgium,4192,39971,35705.950000000004,44783.075,0.098,0.092,0.104,0.14,0.124,0.159
Brazil,38050,411745.5,370234.05,460146.375,0.149,0.144,0.154,0.092,0.082,0.103
Canada,11373,81457,72890.575,91166.05,0.095,0.09,0.101,0.144,0.128,0.163
Chile,5577,8475,7275.925,9866,0.022,0.017,0.028,0.621,0.483,0.81
Colombia,2143,10858,9412,12508.05,0.072,0.059,0.087,0.191,0.153,0.24
Czechia,403,854,698,1050,0.034,0.023,0.048,0.403,0.281,0.609
Denmark,962,3443,2955,4019,0.048,0.037,0.061,0.288,0.221,0.384
Dominican_Republic,1652,3201,2714,3772,0.031,0.024,0.041,0.44,0.33,0.59
Ecuador,16281,93285.5,81821.575,106236.475,0.268,0.252,0.284,0.051,0.045,0.058
Egypt,1874,13203,11530.975,15178.025,0.098,0.082,0.117,0.14,0.114,0.173
Finland,704,3933,3348,4611.025,0.04,0.028,0.055,0.345,0.248,0.491
France,6865,77977.5,69822.1,87254.175,0.155,0.149,0.161,0.089,0.079,0.099
Germany,8321,37294,33336.9,41715.15,0.058,0.055,0.062,0.236,0.209,0.267
Greece,114,744,540,1028,0.059,0.033,0.095,0.233,0.143,0.42
Hungary,498,4787,4100,5617.025,0.114,0.09,0.141,0.121,0.095,0.156
India,13484,49260,43838.9,55300,0.052,0.048,0.057,0.264,0.23,0.304
Indonesia,2236,10097,8853,11526.025,0.049,0.04,0.058,0.283,0.229,0.35
Iran,7120,27325,24370.9,30639.075,0.053,0.049,0.058,0.258,0.225,0.296
Ireland,2615,14714.5,13054,16591.025,0.05,0.044,0.056,0.277,0.235,0.327
Israel,887,916,887,1008,0.014,0.01,0.02,0.958,0.67,1
Italy,13977,113909.5,102218.525,127111.29999999999,0.109,0.104,0.113,0.127,0.113,0.142
Japan,1657,5097,4489,5800.025,0.044,0.038,0.052,0.309,0.256,0.376
Mexico,8246,118029,105722.35,132415.07499999998,0.157,0.147,0.167,0.088,0.077,0.1
Moldova,748,2330,1951,2787.0249999999996,0.038,0.026,0.053,0.358,0.253,0.529
Morocco,832,1025,887,1217.0249999999996,0.011,0.006,0.018,1,0.756,1
Netherlands,3046,21193,18887.95,23797.024999999998,0.089,0.082,0.096,0.155,0.136,0.177
Norway,292,1003,814,1241,0.019,0.01,0.032,0.717,0.42,1
Pakistan,6380,20226,17850,23028.025,0.045,0.039,0.052,0.306,0.255,0.367
Panama,1552,3517,2970,4172.025,0.032,0.023,0.043,0.43,0.314,0.607
Peru,17203,67894,60629.924999999996,76203.025,0.06,0.055,0.065,0.23,0.2,0.264
Philippines,1634,7895,6879.975,9058.025,0.08,0.066,0.095,0.172,0.14,0.214
Poland,2102,10907,9620.95,12389,0.054,0.046,0.064,0.253,0.209,0.308
Portugal,1798,6288,5535,7178,0.038,0.032,0.045,0.363,0.298,0.442
Romania,2097,11233,9894.975,12769.025,0.082,0.072,0.094,0.167,0.141,0.2
Russia,49466,65028,58103.875,72863.15,0.016,0.015,0.018,0.834,0.729,0.956
Saudi_Arabia,9160,9160,9160,9480.025,0.006,0.004,0.008,1,1,1
Serbia,1583,1899,1680,2205.0249999999996,0.017,0.012,0.024,0.789,0.569,1
South_Africa,1975,5119,4316,6027.049999999999,0.031,0.022,0.042,0.441,0.321,0.619
South_Korea,65,292,198,426,0.087,0.042,0.155,0.157,0.088,0.331
Spain,8948,58316,52265.9,65061.274999999994,0.091,0.087,0.095,0.151,0.135,0.17
Sweden,3905,42111.5,37510.975,47405.2,0.117,0.107,0.127,0.117,0.102,0.135
Switzerland,923,4629,4041,5301,0.071,0.06,0.083,0.194,0.161,0.236
Turkey,16602,28505,25569.875,31913.049999999996,0.022,0.02,0.024,0.622,0.544,0.709
Ukraine,2794,5046,4244.975,6000.025,0.023,0.018,0.028,0.604,0.468,0.788
United_Arab_Emirates,3786,4606,4084,5322.025,0.018,0.014,0.024,0.743,0.567,1
United_Kingdom,33883,341244.5,305941.94999999995,380936.3,0.128,0.124,0.132,0.107,0.096,0.12
United_States_of_America,194016,941961.5,846420.925,1050480.725,0.065,0.064,0.066,0.211,0.189,0.235
