country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Algeria,710,8601.5,7465.925,9947.025,0.131,0.107,0.157,0.105,0.085,0.133
Argentina,691,3200,2683,3815.0249999999996,0.061,0.045,0.08,0.225,0.168,0.312
Austria,855,2478,2151,2858.0249999999996,0.044,0.037,0.053,0.31,0.251,0.384
Belgium,9165,159264,142803.67500000002,178590.925,0.223,0.214,0.231,0.062,0.055,0.069
Brazil,15872,156149.5,139832.775,175400.74999999997,0.136,0.129,0.143,0.101,0.089,0.114
Canada,10040,51829,46311.85,58348.05,0.087,0.081,0.092,0.159,0.139,0.18
Chile,2803,4339,3728.975,5068.049999999999,0.021,0.016,0.027,0.652,0.492,0.882
Colombia,912,5787,4978,6742,0.066,0.052,0.083,0.208,0.162,0.269
Czechia,752,1919,1646,2248,0.031,0.023,0.04,0.444,0.334,0.6
Denmark,1246,4393,3815.975,5081,0.04,0.033,0.049,0.341,0.271,0.434
Dominican_Republic,1576,10607,9178.975,12267.05,0.086,0.069,0.105,0.16,0.127,0.204
Ecuador,1765,9623,8417.95,11034.05,0.063,0.054,0.074,0.217,0.18,0.263
Egypt,1093,13150,11402.975,15220.025,0.1,0.08,0.122,0.138,0.109,0.176
France,18031,258812.5,232208.9,290132.94999999995,0.204,0.199,0.209,0.068,0.06,0.075
Germany,19418,57247,51351.75,64137.1,0.047,0.045,0.049,0.292,0.259,0.328
Greece,126,335,257,434,0.025,0.014,0.041,0.546,0.328,1
Hungary,506,8044,6884.975,9421.099999999999,0.193,0.158,0.23,0.072,0.058,0.089
India,7356,45751.5,40485.875,51741.42499999999,0.06,0.053,0.068,0.228,0.193,0.27
Indonesia,2406,34057,30124.899999999998,38723.025,0.155,0.136,0.175,0.089,0.075,0.105
Iran,10839,32781,29330.925000000003,36791.05,0.039,0.036,0.042,0.353,0.309,0.402
Ireland,5830,36658,32451.95,41553.149999999994,0.081,0.072,0.091,0.17,0.145,0.2
Israel,2522,2761,2552,3125,0.017,0.013,0.021,0.821,0.629,1
Italy,23654,212470.5,190745.4,237937.15,0.129,0.125,0.133,0.107,0.095,0.119
Japan,3613,7663,6557,8934.025,0.029,0.023,0.037,0.473,0.365,0.622
Mexico,3278,50760,44998.85,57441.174999999996,0.213,0.195,0.233,0.064,0.056,0.074
Morocco,1140,5418,4556.95,6469,0.042,0.028,0.06,0.325,0.227,0.494
Netherlands,7176,68802.5,61546.525,77369.02500000001,0.134,0.127,0.142,0.102,0.09,0.116
Norway,664,1641,1381,1967,0.039,0.029,0.051,0.353,0.265,0.476
Pakistan,2955,7689,6634,8928.099999999999,0.034,0.027,0.042,0.403,0.317,0.524
Panama,1039,3041,2557,3623.0249999999996,0.035,0.025,0.046,0.397,0.292,0.555
Peru,7572,46423,40452.875,53421.47499999999,0.055,0.047,0.064,0.25,0.208,0.303
Philippines,1659,11049,9694,12619,0.099,0.085,0.115,0.138,0.115,0.167
Poland,2386,11063,9761,12650.099999999999,0.055,0.046,0.064,0.25,0.206,0.305
Portugal,3698,11205,9903,12740.074999999999,0.042,0.037,0.048,0.327,0.276,0.389
Romania,2428,13362,11736,15281.025,0.06,0.05,0.07,0.231,0.19,0.282
Russia,23209,55902.5,49336.9,63556.05,0.034,0.03,0.039,0.406,0.342,0.482
Serbia,2614,5191,4320.950000000001,6257.025,0.028,0.02,0.037,0.495,0.364,0.693
South_Korea,149,467,371,589,0.044,0.028,0.066,0.31,0.205,0.504
Spain,29874,176929.5,158668.625,198106.15,0.083,0.081,0.086,0.165,0.147,0.185
Sweden,3671,44358,39510.75,50102.35,0.182,0.169,0.195,0.076,0.066,0.086
Switzerland,2502,7603,6732.975,8615,0.05,0.044,0.055,0.278,0.237,0.325
Turkey,30162,86262,77121.90000000001,96942.4,0.035,0.032,0.037,0.396,0.347,0.449
Ukraine,2938,15850.5,13621.9,18471.025,0.067,0.053,0.084,0.204,0.16,0.266
United_Kingdom,35226,557122,500115.4,624220.3,0.18,0.176,0.185,0.076,0.068,0.085
United_States_of_America,205135,1209944.5,1086979.9500000002,1354607.75,0.086,0.085,0.087,0.16,0.143,0.178
