country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Afghanistan,1564,7039,5934.9749999999995,8337.124999999998,0.053,0.039,0.071,0.258,0.19,0.357
Algeria,1263,3969,3354,4723,0.038,0.027,0.052,0.361,0.261,0.518
Argentina,1095,5466,4712,6387.025,0.064,0.05,0.081,0.214,0.166,0.281
Austria,307,1578,1283.975,1938,0.044,0.027,0.066,0.314,0.208,0.509
Bangladesh,4980,4989,4980,5268,0.012,0.009,0.016,1,0.845,1
Belarus,6224,6224,6224,6224,0.005,0.003,0.007,1,1,1
Belgium,3079,25521.5,22783.95,28836,0.138,0.129,0.147,0.1,0.088,0.113
Bolivia,967,6686,5601.95,7973.074999999999,0.096,0.072,0.125,0.143,0.108,0.195
Brazil,59380,545248,489716.975,610871.0249999999,0.121,0.117,0.124,0.114,0.101,0.127
Cameroon,197,1077,791,1448,0.076,0.056,0.099,0.183,0.136,0.248
Canada,10988,79594.5,71248.825,89332.22499999999,0.098,0.093,0.104,0.14,0.123,0.158
Chile,8784,12310,10804.975,14154.224999999997,0.014,0.011,0.018,0.964,0.737,1
Colombia,3210,16238,14274.925,18588.025,0.065,0.054,0.076,0.213,0.174,0.262
Czechia,340,1321,1075,1607.0249999999996,0.064,0.045,0.088,0.216,0.155,0.315
Denmark,912,3587,3076,4195,0.046,0.035,0.059,0.299,0.228,0.404
Dominican_Republic,2304,7296,6301,8452.025,0.041,0.032,0.052,0.333,0.257,0.445
Ecuador,9489,94143,84041.70000000001,106155.225,0.026,0.023,0.029,0.529,0.454,0.616
Egypt,2771,14300,12500.975,16389.025,0.059,0.048,0.071,0.234,0.189,0.293
Finland,701,2867,2420.975,3422.0249999999996,0.061,0.045,0.08,0.225,0.169,0.311
France,7875,87470,78241.97499999999,98306.22499999999,0.167,0.16,0.175,0.082,0.073,0.092
Germany,6722,30549.5,27328.925,34344.1,0.069,0.065,0.074,0.199,0.174,0.226
Greece,90,286,204,400,0.049,0.023,0.089,0.279,0.153,0.594
Honduras,820,9216,7605,11130.074999999999,0.124,0.087,0.166,0.112,0.081,0.16
Hungary,265,2456,2050.9750000000004,2939.0249999999996,0.141,0.113,0.172,0.098,0.078,0.125
India,22959,107857,96814.8,121455.77499999998,0.068,0.064,0.073,0.202,0.177,0.229
Indonesia,2802,10220,8951.925000000001,11691.074999999999,0.055,0.046,0.064,0.251,0.206,0.308
Iran,9772,39407.5,35192.850000000006,44370.22499999999,0.056,0.051,0.062,0.245,0.212,0.283
Ireland,1584,6101.5,5381.975,6957.025,0.054,0.046,0.062,0.256,0.214,0.307
Israel,269,296,272,339,0.013,0.008,0.021,1,0.651,1
Italy,8940,69378.5,62266.95,77895.15,0.103,0.098,0.108,0.134,0.118,0.15
Japan,908,3479,3031,3990.0249999999996,0.055,0.047,0.066,0.248,0.202,0.304
Mexico,11372,131890,118396.59999999999,147946.05,0.176,0.167,0.185,0.078,0.069,0.088
Moldova,815,2022,1683,2428,0.04,0.029,0.054,0.345,0.25,0.491
Morocco,1181,1285,1181,1497.0249999999996,0.014,0.008,0.022,0.998,0.608,1
Netherlands,2146,15843,14037.975,17931.050000000003,0.108,0.099,0.118,0.127,0.11,0.146
Nigeria,1763,9312,7948.975,10914.025,0.049,0.036,0.065,0.281,0.208,0.39
Pakistan,10362,30763,27266.975,34919.025,0.035,0.031,0.04,0.388,0.326,0.461
Panama,1192,2537,2151.975,2991,0.029,0.021,0.039,0.473,0.348,0.661
Peru,22481,82738.5,74066.975,93030.425,0.041,0.038,0.044,0.335,0.292,0.382
Philippines,1682,9890,8628,11372.074999999999,0.069,0.057,0.083,0.199,0.161,0.249
Poland,2276,8391,7378.975,9577.149999999998,0.052,0.043,0.061,0.266,0.217,0.328
Portugal,2216,5178,4496,5974,0.038,0.031,0.045,0.366,0.295,0.457
Puerto_Rico,416,1959,1484,2544,0.056,0.032,0.09,0.244,0.151,0.446
Romania,2399,12597,11107.949999999999,14325.05,0.069,0.059,0.08,0.2,0.166,0.24
Russia,74622,80115,75211.975,89524.15,0.014,0.013,0.015,0.972,0.847,1
Saudi_Arabia,11677,11677,11677,11677,0.007,0.006,0.009,1,1,1
Serbia,670,835,725,984,0.015,0.01,0.021,0.944,0.647,1
South_Africa,3084,8498,7320,9917.05,0.038,0.03,0.048,0.361,0.278,0.474
Spain,7992,52866,47348.825000000004,59426.12499999999,0.099,0.094,0.105,0.139,0.123,0.156
Sweden,3839,32877,29303.925,37067.05,0.131,0.121,0.142,0.105,0.092,0.12
Switzerland,434,2281,1954,2665.0249999999996,0.057,0.044,0.071,0.242,0.189,0.318
Turkey,12740,19772,17686,22240.05,0.021,0.019,0.023,0.66,0.569,0.762
Ukraine,3299,6695.5,5837,7691,0.035,0.028,0.042,0.396,0.318,0.498
United_Arab_Emirates,3818,4756,4191.975,5511,0.018,0.014,0.023,0.764,0.589,1
United_Kingdom,33000,284483,255344.15,318831.6,0.105,0.102,0.109,0.131,0.117,0.146
United_States_of_America,176472,806131.5,724853.8250000001,903192.75,0.062,0.061,0.063,0.221,0.197,0.246
