country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Algeria,721,5354,4594.975,6262,0.085,0.065,0.109,0.161,0.123,0.216
Argentina,939,4943,4137,5917.025,0.079,0.061,0.101,0.174,0.132,0.232
Austria,472,1797,1545,2114,0.067,0.055,0.081,0.205,0.165,0.259
Bangladesh,2854,24789,21347.975000000002,28779.025,0.053,0.041,0.068,0.259,0.199,0.345
Belgium,8142,108226.5,96894.72499999999,121455.09999999999,0.152,0.145,0.159,0.09,0.08,0.102
Brazil,21910,196973.5,176899.775,221553.475,0.133,0.127,0.139,0.104,0.092,0.116
Canada,12000,88914.5,79569.9,99837.57499999998,0.107,0.101,0.113,0.129,0.113,0.145
Chile,3128,4935,4254.9749999999995,5738.025,0.02,0.015,0.025,0.693,0.527,0.929
Colombia,1521,6910.5,5982.9749999999995,8010,0.062,0.048,0.077,0.224,0.174,0.29
Czechia,698,1687.5,1428,1991,0.037,0.026,0.049,0.376,0.274,0.535
Denmark,1203,3802,3283,4436,0.052,0.041,0.064,0.267,0.208,0.346
Dominican_Republic,1591,6010,5180,7025.025,0.04,0.03,0.051,0.346,0.265,0.464
Ecuador,2161,7638,6662.95,8793.025,0.04,0.033,0.047,0.347,0.282,0.425
Egypt,1287,8158,7027.9749999999995,9514.025,0.082,0.066,0.1,0.168,0.133,0.213
Finland,794,4781,4104.925,5560,0.118,0.097,0.141,0.117,0.094,0.146
France,12293,157548.5,141417.75,176891.625,0.145,0.14,0.15,0.095,0.084,0.106
Germany,14278,57063.5,51242.850000000006,64095.075,0.059,0.056,0.062,0.232,0.205,0.261
Greece,299,1156,875,1526,0.088,0.059,0.123,0.157,0.109,0.238
Hungary,584,6097,5247,7120.074999999999,0.134,0.109,0.161,0.103,0.083,0.13
India,10784,40092,35664.95,45337.149999999994,0.049,0.044,0.054,0.282,0.242,0.33
Indonesia,2359,16227,14341.95,18515,0.085,0.074,0.097,0.161,0.136,0.192
Iran,8460,27147,24291.975000000002,30542.05,0.051,0.047,0.055,0.269,0.235,0.307
Ireland,3803,20705,18429.925,23359.075,0.086,0.079,0.094,0.159,0.138,0.183
Israel,2033,2799,2413,3266.0249999999996,0.013,0.009,0.017,1,0.786,1
Italy,19426,178767.5,160348,200321.075,0.122,0.118,0.126,0.113,0.1,0.126
Japan,2821,7647,6689.9749999999995,8744.025,0.045,0.039,0.052,0.302,0.253,0.362
Mexico,6345,102577.5,91606.7,115253.09999999999,0.236,0.221,0.252,0.058,0.051,0.066
Morocco,1212,2774,2267,3368.0499999999993,0.026,0.017,0.039,0.524,0.35,0.815
Netherlands,5601,48735,43591.925,54752.54999999999,0.107,0.1,0.114,0.129,0.113,0.146
Norway,483,1878,1572.975,2236,0.067,0.05,0.087,0.206,0.153,0.282
Pakistan,4730,15866,13817.975,18266.1,0.048,0.039,0.057,0.289,0.234,0.359
Panama,1265,2864,2433,3393,0.031,0.022,0.041,0.445,0.324,0.626
Peru,10911,41986,37371.924999999996,47370.024999999994,0.052,0.046,0.057,0.267,0.23,0.309
Philippines,1207,6340,5514,7321.025,0.063,0.052,0.076,0.218,0.176,0.272
Poland,2531,10682,9409.95,12226.025,0.073,0.063,0.084,0.188,0.158,0.225
Portugal,3707,10382,9212,11801.025,0.041,0.036,0.047,0.334,0.281,0.399
Romania,2217,9337,8185,10680.074999999999,0.063,0.054,0.073,0.217,0.18,0.263
Russia,37795,77534,69111.775,87640.05,0.023,0.021,0.025,0.603,0.52,0.7
Saudi_Arabia,8025,10842,9414,12617,0.015,0.011,0.02,0.923,0.687,1
Serbia,1785,2635,2259,3114.0249999999996,0.015,0.011,0.021,0.894,0.637,1
South_Korea,67,212,155,291,0.04,0.019,0.073,0.343,0.187,0.741
Spain,32033,203928.5,183180.55,229065.32499999998,0.089,0.086,0.093,0.154,0.137,0.172
Sweden,4355,61572,54998,69390.125,0.19,0.177,0.202,0.073,0.064,0.082
Switzerland,1489,6438,5681.9749999999995,7313,0.064,0.056,0.072,0.217,0.183,0.256
Turkey,25444,55851.5,50065.925,62795.575,0.026,0.025,0.028,0.521,0.456,0.59
Ukraine,3168,9949,8632,11550,0.029,0.023,0.037,0.468,0.366,0.613
United_Kingdom,34160,361052,324451.80000000005,404627.9,0.13,0.126,0.133,0.106,0.094,0.119
United_States_of_America,203967,1156687,1040049.975,1296635.1,0.069,0.067,0.07,0.201,0.179,0.224
