country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Afghanistan,3596,8093,6976.9000000000005,9428,0.025,0.019,0.032,0.555,0.418,0.754
Algeria,1292,3616,3094,4226,0.04,0.03,0.052,0.343,0.26,0.463
Argentina,3548,15065,13028,17431.025,0.051,0.041,0.063,0.269,0.214,0.344
Austria,267,604,443,823,0.035,0.019,0.059,0.395,0.231,0.742
Bangladesh,11083,18107,15977.975,20654.074999999997,0.022,0.019,0.026,0.616,0.505,0.749
Belarus,6563,6563,6563,6563,0.005,0.004,0.007,1,1,1
Belgium,1821,13419,11888.975,15212.05,0.078,0.069,0.088,0.176,0.15,0.208
Bolivia,2089,8757.5,7538.975,10200.025,0.061,0.049,0.076,0.225,0.177,0.289
Bosnia_and_Herzegovina,124,643,496,836.0249999999996,0.06,0.033,0.099,0.228,0.136,0.415
Brazil,114256,810681.5,728906.4,908237.1,0.096,0.094,0.099,0.143,0.127,0.159
Bulgaria,197,1011,790.975,1278.0249999999996,0.062,0.038,0.093,0.222,0.145,0.367
Cameroon,1305,3109,2355,4063.0249999999996,0.03,0.019,0.045,0.459,0.301,0.743
Canada,7757,42196.5,37699.9,47354.12499999999,0.076,0.071,0.082,0.18,0.158,0.205
Chile,23965,36340,32238.975,41117.149999999994,0.022,0.019,0.025,0.625,0.53,0.736
Colombia,5238,13931,12214.900000000001,15861.05,0.037,0.031,0.043,0.375,0.312,0.458
Czechia,435,1532,1210.9750000000001,1930,0.056,0.034,0.084,0.248,0.162,0.4
Denmark,431,859,704,1050.0249999999996,0.026,0.016,0.039,0.531,0.344,0.877
Dominican_Republic,2529,3088,2724,3605.0249999999996,0.015,0.01,0.02,0.934,0.673,1
Ecuador,3495,19032,16964.975,21479.025,0.085,0.077,0.093,0.162,0.14,0.186
Egypt,4894,15309,13467.975,17472,0.043,0.036,0.051,0.317,0.26,0.39
Finland,282,691,553,863,0.017,0.008,0.031,0.8,0.447,1
France,2515,25419,22599.925,28683.125,0.136,0.127,0.146,0.101,0.089,0.115
Germany,3926,17630,15665,19897.049999999996,0.055,0.05,0.061,0.248,0.213,0.289
Greece,57,477,323,690,0.091,0.045,0.157,0.151,0.087,0.306
Honduras,1178,3393,2811,4086.0499999999993,0.048,0.034,0.065,0.288,0.209,0.413
Hungary,232,2369,1936,2899,0.144,0.104,0.193,0.095,0.07,0.134
India,40941,115596.5,103546.65000000001,129548.175,0.039,0.037,0.042,0.351,0.31,0.397
Indonesia,4720,27628,24423.875,31298.025,0.087,0.077,0.097,0.159,0.135,0.186
Iran,15129,43031,38319.950000000004,48430.05,0.038,0.034,0.042,0.364,0.315,0.419
Iraq,1012,3462,2802,4233.025,0.058,0.04,0.079,0.24,0.172,0.349
Ireland,534,1965,1678,2298,0.053,0.042,0.066,0.26,0.203,0.337
Israel,82,305,219,423,0.051,0.027,0.086,0.269,0.159,0.517
Italy,4567,44135,39384.75,49577.075,0.129,0.121,0.136,0.107,0.094,0.122
Japan,265,2165,1816,2596.0249999999996,0.116,0.094,0.143,0.118,0.093,0.15
Kuwait,6662,7494.5,6928,8245.025,0.008,0.006,0.011,1,1,1
Mexico,18712,228375.5,205125.8,256006.09999999998,0.169,0.163,0.176,0.081,0.072,0.091
Moldova,1060,3857,3273,4560,0.039,0.028,0.053,0.354,0.256,0.506
Netherlands,1194,7758,6793.9749999999995,8888,0.078,0.066,0.09,0.177,0.147,0.214
Nigeria,1905,3371,2869,3967,0.026,0.019,0.035,0.522,0.39,0.72
Pakistan,14450,25575,22750.95,28911.25,0.023,0.02,0.026,0.595,0.507,0.701
Panama,1128,1985,1653,2387,0.025,0.017,0.034,0.562,0.395,0.825
Peru,27213,77601,69493.925,87075.15,0.039,0.036,0.041,0.355,0.311,0.403
Philippines,1472,4829,4177,5597.025,0.029,0.021,0.037,0.483,0.36,0.664
Poland,2674,8286,7237,9518.05,0.031,0.025,0.039,0.437,0.346,0.563
Portugal,1661,5521,4804.975,6357,0.054,0.044,0.065,0.253,0.205,0.319
Romania,1153,4714,4094,5444,0.048,0.039,0.058,0.288,0.229,0.364
Russia,63839,63839,63839,63839,0.011,0.011,0.012,1,1,1
Saudi_Arabia,18145,18145,18145,18145,0.006,0.005,0.007,1,1,1
Serbia,596,849,693,1073.0249999999996,0.019,0.01,0.032,0.742,0.426,1
South_Africa,6988,16994,14913,19377.074999999997,0.035,0.03,0.041,0.391,0.322,0.476
Spain,4422,26240,23438.95,29553.124999999996,0.066,0.06,0.072,0.209,0.181,0.24
Sudan,1664,5838,4868,7012,0.062,0.047,0.08,0.221,0.169,0.295
Sweden,3511,24155,21472.975,27205.124999999996,0.081,0.072,0.089,0.171,0.147,0.199
Switzerland,153,1424,1147,1762.0499999999993,0.114,0.083,0.15,0.121,0.09,0.169
Turkey,7619,12199,10849.95,13789.025,0.018,0.016,0.021,0.749,0.631,0.889
Ukraine,2722,7154.5,6277,8185.025,0.033,0.028,0.04,0.411,0.332,0.51
United_Arab_Emirates,6077,6077,6077,6077,0.007,0.004,0.009,1,1,1
United_Kingdom,15084,87315,78343.8,97858.77499999998,0.077,0.074,0.08,0.179,0.159,0.201
United_States_of_America,154786,592985.5,533615.475,663723.2000000001,0.051,0.05,0.052,0.27,0.242,0.301
