country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Afghanistan,2369,5633,4622,6874.074999999999,0.039,0.029,0.05,0.356,0.269,0.481
Algeria,1263,3845,3286,4514,0.041,0.031,0.053,0.334,0.251,0.451
Argentina,2029,9093,7776.950000000001,10650.025,0.066,0.052,0.083,0.209,0.162,0.274
Austria,363,1310,1037,1657,0.046,0.026,0.074,0.302,0.183,0.55
Bangladesh,7225,9972,8801,11397.074999999999,0.022,0.018,0.026,0.63,0.507,0.79
Belarus,6629,6629,6629,6629,0.006,0.004,0.008,1,1,1
Belgium,2393,25151,22415.899999999998,28442.374999999993,0.133,0.121,0.145,0.104,0.09,0.119
Bolivia,1389,7572,6470.95,8873.05,0.062,0.047,0.08,0.221,0.168,0.3
Bosnia_and_Herzegovina,197,1401,1123,1741,0.092,0.064,0.126,0.15,0.107,0.217
Brazil,77203,632371.5,569311.475,706343.175,0.105,0.103,0.108,0.131,0.117,0.145
Bulgaria,256,885,682,1150,0.057,0.035,0.086,0.243,0.158,0.394
Cameroon,1018,6121,5128,7322,0.085,0.06,0.116,0.162,0.116,0.233
Canada,8151,54391.5,48806.975,60938.54999999999,0.084,0.079,0.089,0.164,0.145,0.185
Chile,14209,14434,14209,15244,0.015,0.012,0.018,0.932,0.758,1
Colombia,4444,16322.5,14333.925,18574.225,0.042,0.035,0.051,0.325,0.265,0.402
Czechia,360,1642,1337.975,2006,0.054,0.034,0.08,0.253,0.169,0.408
Denmark,539,1428,1197,1705,0.031,0.021,0.043,0.447,0.313,0.657
Dominican_Republic,2011,4075,3465.975,4800.049999999999,0.019,0.014,0.025,0.736,0.536,1
Ecuador,3792,22383,19949.95,25249.074999999997,0.102,0.096,0.108,0.135,0.119,0.153
Egypt,2755,9179,8051.9749999999995,10554,0.042,0.034,0.051,0.328,0.263,0.41
Finland,406,1436.5,1182,1744,0.048,0.033,0.065,0.289,0.206,0.421
France,3437,46500,41588.875,52259.15,0.173,0.165,0.182,0.079,0.071,0.089
Germany,5137,27128,24253.899999999998,30416.025,0.07,0.064,0.076,0.197,0.171,0.225
Greece,109,635.5,434,916,0.115,0.062,0.188,0.12,0.073,0.224
Honduras,735,3351,2744,4080.0249999999996,0.044,0.031,0.061,0.313,0.221,0.457
Hungary,246,2134,1766,2582,0.108,0.079,0.143,0.128,0.094,0.178
India,27988,100781,90360.85,113001.79999999999,0.039,0.036,0.042,0.354,0.311,0.4
Indonesia,3380,12955,11391,14756,0.05,0.042,0.059,0.274,0.224,0.336
Iran,12172,44460,39717,50022.125,0.043,0.039,0.047,0.322,0.278,0.373
Iraq,581,1173,922,1497.0249999999996,0.029,0.017,0.047,0.471,0.291,0.835
Ireland,1288,4574,3976,5270,0.045,0.036,0.055,0.308,0.244,0.389
Israel,154,313,250,393,0.039,0.025,0.057,0.353,0.235,0.556
Italy,6492,54059.5,48421.950000000004,60453.049999999996,0.124,0.118,0.131,0.111,0.098,0.125
Japan,538,3082,2649.975,3588,0.097,0.082,0.114,0.142,0.117,0.172
Kuwait,6179,8740,7596,10148,0.023,0.018,0.03,0.587,0.449,0.779
Mexico,13684,167864.5,150672.425,187589.07499999995,0.17,0.163,0.178,0.081,0.072,0.091
Moldova,1067,4543,3837,5384.025,0.063,0.046,0.082,0.22,0.166,0.301
Netherlands,1488,11880,10512.975,13459.025,0.099,0.088,0.111,0.139,0.118,0.164
Nigeria,1470,4958,4272,5776.074999999999,0.032,0.024,0.042,0.433,0.323,0.587
Pakistan,10686,23902,21236,27018.225,0.028,0.024,0.031,0.495,0.419,0.582
Panama,1167,2393,2034.9750000000001,2818,0.024,0.017,0.033,0.577,0.409,0.84
Peru,23526,59426.5,53225.950000000004,66504,0.035,0.032,0.037,0.398,0.349,0.452
Philippines,1695,8275,7238,9470.025,0.065,0.054,0.078,0.211,0.173,0.261
Poland,2606,10803,9494.95,12341.149999999998,0.06,0.05,0.071,0.23,0.189,0.281
Portugal,1404,4054,3512,4680,0.04,0.032,0.049,0.348,0.274,0.446
Puerto_Rico,416,1111,870,1418.0249999999996,0.029,0.016,0.046,0.482,0.296,0.86
Romania,1573,8657.5,7601.9749999999995,9851.025,0.07,0.06,0.082,0.196,0.163,0.237
Russia,73367,73907.5,73367,77581.22499999999,0.011,0.01,0.012,1,1,1
Saudi_Arabia,14880,14880,14880,14880,0.006,0.005,0.008,1,1,1
Serbia,464,507,466,592,0.015,0.008,0.023,0.937,0.589,1
South_Africa,4935,11281,9809.95,12970.025,0.029,0.023,0.036,0.473,0.372,0.612
Spain,4535,47488,42483.950000000004,53349.2,0.144,0.136,0.152,0.096,0.085,0.108
Sweden,3756,34746,31023.875000000004,39190.05,0.123,0.113,0.134,0.112,0.097,0.128
Switzerland,321,1944,1634.9750000000001,2320.0249999999996,0.108,0.086,0.133,0.128,0.1,0.164
Turkey,10952,18411.5,16443,20710.149999999998,0.025,0.023,0.028,0.55,0.473,0.639
Ukraine,3148,8520,7478,9734.025,0.037,0.031,0.044,0.37,0.302,0.458
United_Arab_Emirates,5210,5817.5,5400,6400.025,0.008,0.005,0.011,1,1,1
United_Kingdom,24901,166741,149948.72499999998,186261.47499999998,0.084,0.081,0.087,0.165,0.147,0.184
United_States_of_America,158343,639862,576097.7999999999,714043.3,0.053,0.052,0.054,0.259,0.232,0.288
