country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Algeria,525,17282,14906.825,20010,0.277,0.24,0.315,0.05,0.042,0.059
Austria,2041,4029,3531,4586,0.034,0.029,0.039,0.408,0.337,0.497
Belgium,9587,149620,133794.825,167596,0.238,0.229,0.247,0.058,0.051,0.065
Brazil,10449,135876.5,121229.84999999999,152488.49999999997,0.158,0.147,0.169,0.087,0.077,0.099
Canada,9419,45073,40042.825000000004,50846.125,0.063,0.058,0.069,0.218,0.189,0.251
China,522,1201,979,1470,0.016,0.008,0.028,0.859,0.494,1
Colombia,1303,8785,7455,10334.025,0.112,0.088,0.138,0.123,0.097,0.16
Czechia,1430,3919,3364.975,4569,0.038,0.03,0.048,0.359,0.282,0.466
Denmark,1919,16135.5,14064.95,18509.124999999996,0.07,0.058,0.085,0.195,0.157,0.244
Dominican_Republic,1181,6908,5883,8119,0.071,0.055,0.09,0.195,0.149,0.258
Ecuador,3792,30983,26714.95,35917.42499999999,0.097,0.083,0.113,0.142,0.117,0.171
Egypt,954,14910,12783.925,17446.025,0.263,0.217,0.315,0.052,0.042,0.066
France,25185,500537,449097.95,559964.85,0.215,0.21,0.219,0.064,0.057,0.072
Germany,28765,78232.5,70016.675,87727.4,0.037,0.035,0.039,0.372,0.329,0.422
India,4982,55892.5,49268.950000000004,63557.1,0.143,0.125,0.162,0.097,0.082,0.115
Indonesia,1750,16979,14828.900000000001,19460,0.156,0.132,0.181,0.088,0.073,0.107
Iran,14286,66520.5,59473.975000000006,74527.22499999999,0.047,0.044,0.05,0.294,0.259,0.333
Ireland,4324,28529,25104.95,32447.075,0.094,0.082,0.108,0.147,0.123,0.175
Israel,2725,3389.5,2967,3957,0.016,0.012,0.02,0.865,0.658,1
Italy,27639,242957,217757.725,271757.875,0.115,0.112,0.119,0.119,0.106,0.133
Mexico,2329,33895,29721.9,38556.05,0.223,0.196,0.252,0.061,0.052,0.073
Morocco,626,7440,6308.975,8813.025,0.123,0.094,0.156,0.112,0.086,0.15
Netherlands,7786,93887,83961,105119.275,0.141,0.133,0.15,0.097,0.086,0.11
Peru,5102,57095,49809.850000000006,65811.2,0.141,0.118,0.166,0.098,0.08,0.12
Philippines,1334,8808.5,7555.95,10290.074999999999,0.061,0.05,0.073,0.227,0.183,0.283
Poland,2729,16753,14621,19208.025,0.081,0.069,0.096,0.17,0.139,0.206
Portugal,5463,18439.5,16332.85,20880.05,0.04,0.035,0.046,0.343,0.289,0.407
Romania,2377,17404,15296.95,19905.024999999998,0.087,0.074,0.102,0.157,0.13,0.191
Russia,8853,22496.5,19336,26220.05,0.028,0.022,0.035,0.494,0.382,0.651
South_Korea,275,932,758.975,1147.0249999999996,0.044,0.031,0.062,0.309,0.218,0.447
Spain,37116,312563.5,280261.75,349941.5,0.087,0.084,0.089,0.158,0.142,0.177
Sweden,3708,63301.5,56283.950000000004,71224.4,0.21,0.194,0.227,0.066,0.057,0.075
Switzerland,4619,14377,12784.85,16216.025,0.04,0.036,0.045,0.345,0.294,0.403
Turkey,28233,139855.5,124903.82500000001,156920.35,0.047,0.043,0.051,0.292,0.255,0.334
United_Kingdom,37088,900693.5,805996.375,1009169.45,0.283,0.276,0.289,0.049,0.043,0.054
United_States_of_America,217714,1412497,1266884.325,1581249.15,0.082,0.081,0.084,0.167,0.149,0.186
